Unnamed: 0,stator_kv,mfr,group_number,requested_test_kv,media,mediana,desviacion_estandar,moda,B,A,Q,F
76,13.8,OTH,GST,6.0,-0.444416241594948,1.0863383240662474,-1.1070896740918916,1.0078115346793015,1.1100697888684907,1.1446214539945987,1.1791731191207069,False
77,13.8,OTH,GST,8.0,-0.24999760197379192,1.3656004768864782,-1.058420119401481,1.2244383400497816,1.4215441643065896,1.499534171992516,1.5775241796784425,False
78,13.8,OTH,UST,2.0,-0.03161216977433575,1.7317799164299688,-0.8735163944759388,1.2197772612527076,1.8876515922082904,2.1306710807471547,2.373690569286019,False
79,13.8,OTH,UST,4.0,-0.0433100716373649,1.7143369925524343,-0.8757524115332482,1.2078557521034576,1.869528552782356,2.1105523609513703,2.351576169120385,False
80,13.8,OTH,UST,6.0,-0.02009723589584702,1.7420784605648827,-0.8813657011180874,1.2511439394274475,1.8965210721675665,2.132534931151207,2.368548790134848,False
81,13.8,OTH,UST,8.0,0.018845610704214425,1.78079204556603,-0.8923019719706631,1.3232421714314746,1.9404489893068249,2.166702054655862,2.3929551200048995,False
82,13.8,RK,GST,2.0,-0.3010636587964811,1.15,-0.7370767784561416,0.98,1.6379457241486162,2.002739714572656,2.367533704996695,False
83,13.8,RK,GST,4.0,-0.2671853808708175,1.19,-0.7269917079667852,0.94,1.6936532310524974,2.067448305407615,2.4412433797627324,False
84,13.8,RK,GST,6.0,-0.2114586532052987,1.26,-0.7197895570505249,1.92,1.7769091392910925,2.157132246543944,2.537355353796796,False
85,13.8,RK,GST,8.0,-0.13461417479733365,1.36,-0.7146627879936194,1.15,1.8874268078800769,2.272225637099885,2.657024466319694,False
86,13.8,RK,GST,10.0,0.38572815005152533,2.22,,2.22,,,,False
87,13.8,RK,UST,2.0,-0.588262932356525,0.4462521250785212,0.8764714209368974,0.27,2.682114430329517,4.487025550812748,6.2919366712959794,False
88,13.8,RK,UST,4.0,-0.6843851321818363,0.27,1.109664835478471,-1.52,2.7577239640567,4.770763872403002,6.783803780749305,False
89,13.8,RK,UST,6.0,-0.6392725871914738,0.265,1.2537106086347871,-1.25,2.948481670806585,5.090084695837635,7.231687720868685,False
