,stator_kv,mfr,group_number,requested_test_kv,media,mediana,desviacion_estandar,moda,B,A,Q,F
45,13.8,ANS,UST,2.0,-1.0232152251496216,-0.72,0.9348203151047535,-0.67,-0.0883949100448681,0.8464254050598854,1.7812457201646388,False
46,13.8,ANS,UST,4.0,-1.4470874521336807,-1.34,0.9089106678662606,-0.8,-0.5381767842674201,0.3707338835988405,1.2796445514651011,False
47,13.8,ANS,UST,6.0,-1.7327688464737028,-1.7298534029808796,0.9023319553683234,-1.95,-0.8304368911053793,0.07189506426294412,0.9742270196312677,False
48,13.8,ANS,UST,8.0,-1.9963623746810777,-2.0705815229454827,0.9188355986681641,-1.01,-1.0775267760129137,-0.15869117734474947,0.7601444213234148,False
49,13.8,ENG,GST,2.0,1.8900689072083687,2.15,1.4188329833865678,2.16,3.3089018905949366,4.727734873981504,6.146567857368073,False
50,13.8,ENG,GST,4.0,1.9555429003297864,2.21,1.383779045923901,2.22,3.3393219462536874,4.723100992177589,6.106880038101489,False
51,13.8,ENG,GST,6.0,2.0479273943377554,2.2686220464046074,1.3468948894305455,2.25,3.394822283768301,4.741717173198847,6.088612062629391,False
52,13.8,ENG,GST,8.0,2.1133340303718158,2.338178775015212,1.1839189568646724,2.32,3.2972529872364884,4.481171944101161,5.665090900965833,False
53,13.8,ENG,UST,2.0,2.5668622305807536,1.795,3.065640057743006,1.58,5.63250228832376,8.698142346066765,11.76378240380977,False
54,13.8,ENG,UST,4.0,2.8185757424591764,2.27,2.991959387944318,2.27,5.810535130403494,8.802494518347812,11.79445390629213,False
55,13.8,ENG,UST,6.0,3.2311483404026835,2.73,3.0126030707454072,2.59,6.243751411148091,9.256354481893498,12.268957552638906,False
56,13.8,ENG,UST,8.0,3.7256670951122364,3.26,2.984525191106317,4.72,6.710192286218554,9.69471747732487,12.679242668431186,False
57,13.8,GMX,GST,2.0,0.8917180750860386,0.8679679843179542,0.3073813908572409,0.94,1.1990994659432794,1.5064808568005206,1.8138622476577613,False
58,13.8,GMX,GST,4.0,0.9676123574300314,0.93,0.3138719592484622,0.91,1.2814843166784935,1.5953562759269557,1.909228235175418,False
59,13.8,GMX,GST,6.0,1.13265625278554,1.04,0.3188128478963723,0.86,1.4514691006819123,1.7702819485782846,2.089094796474657,False
60,13.8,GMX,GST,8.0,1.3995829439177818,1.2499374796700822,0.5087157391000756,0.96,1.9082986830178574,2.417014422117933,2.9257301612180084,False
61,13.8,GMX,UST,2.0,1.2714126024076593,0.9689888655610422,1.153529716524671,0.75,2.42494231893233,3.5784720354570014,4.732001751981672,False
62,13.8,GMX,UST,4.0,1.1568071135969071,0.8516260029276232,1.1908305215300972,0.57,2.347637635127004,3.5384681566571015,4.729298678187199,False
63,13.8,GMX,UST,6.0,1.0915473942941192,0.8,1.159339070055492,0.88,2.250886464349611,3.410225534405103,4.569564604460595,False
64,13.8,GMX,UST,8.0,1.1226971256520526,0.805,1.1749393078604413,0.64,2.297636433512494,3.4725757413729355,4.647515049233377,False
65,13.8,MIT,GST,2.0,0.9918462080640553,0.988735907234973,0.1710835770421868,0.95,1.1629297851062421,1.334013362148429,1.5050969391906157,False
66,13.8,MIT,GST,4.0,1.0724375746141044,1.09202660454788,0.19619210458137276,0.93,1.2686296791954772,1.4648217837768498,1.6610138883582226,False
67,13.8,MIT,GST,6.0,1.334770077125273,1.39,0.3161694241135963,1.33,1.6509395012388692,1.9671089253524656,2.283278349466062,False
68,13.8,MIT,GST,8.0,1.781225296064977,1.9249999999999998,0.5244016751775357,1.89,2.305626971242513,2.8300286464200486,3.354430321597584,False
69,13.8,MIT,UST,2.0,1.9197961663063308,1.6252778238799288,1.2439234700925563,1.32,3.163719636398887,4.407643106491443,5.651566576583999,False
70,13.8,MIT,UST,4.0,1.8377949275147416,1.5144772032241771,1.2458422879169209,1.14,3.0836372154316622,4.329479503348583,5.5753217912655035,False
71,13.8,MIT,UST,6.0,1.8752738916164071,1.4976543277150849,1.2585358225905399,1.16,3.133809714206947,4.392345536797487,5.650881359388027,False
72,13.8,MIT,UST,8.0,1.922604997298837,1.5410773691536337,1.2993004622372841,0.25,3.221905459536121,4.521205921773405,5.82050638401069,False
73,13.8,MIT,UST,10.0,2.09,2.09,,2.09,,,,False
74,13.8,OTH,GST,2.0,0.9017111292685058,0.8988719071822175,0.035588713419074935,0.8672199393498445,0.9372998426875807,0.9728885561066557,1.0084772695257307,False
75,13.8,OTH,GST,4.0,0.9333663169834989,0.9290101061421308,0.026072933689153897,0.9088498563172256,0.9594392506726528,0.9855121843618068,1.0115851180509605,False
76,13.8,OTH,GST,6.0,1.0755181237423828,1.0863383240662474,0.03455166512610794,1.0078115346793015,1.1100697888684907,1.1446214539945987,1.1791731191207067,False
77,13.8,OTH,GST,8.0,1.3435541566206632,1.3656004768864782,0.0779900076859263,1.2244383400497816,1.4215441643065896,1.499534171992516,1.5775241796784423,False
78,13.8,OTH,UST,2.0,1.644632103669426,1.7317799164299688,0.24301948853886438,1.2197772612527076,1.8876515922082904,2.1306710807471547,2.373690569286019,False
79,13.8,OTH,UST,4.0,1.628504744613342,1.7143369925524343,0.24102380816901423,1.2078557521034576,1.8695285527823562,2.1105523609513703,2.351576169120385,False
80,13.8,OTH,UST,6.0,1.6605072131839254,1.7420784605648827,0.23601385898364083,1.2511439394274475,1.8965210721675663,2.132534931151207,2.368548790134848,False
81,13.8,OTH,UST,8.0,1.714195923957787,1.78079204556603,0.22625306534903747,1.3232421714314746,1.9404489893068246,2.166702054655862,2.3929551200048995,False
82,13.8,RK,GST,2.0,1.2731517337245768,1.15,0.3647939904240394,0.98,1.6379457241486162,2.0027397145726558,2.367533704996695,False
83,13.8,RK,GST,4.0,1.31985815669738,1.19,0.37379507435511744,0.94,1.6936532310524974,2.067448305407615,2.4412433797627324,False
84,13.8,RK,GST,6.0,1.396686032038241,1.26,0.3802231072528515,1.92,1.7769091392910925,2.157132246543944,2.5373553537967957,False
85,13.8,RK,GST,8.0,1.5026279786602679,1.36,0.3847988292198087,1.15,1.8874268078800767,2.2722256370998855,2.657024466319694,False
86,13.8,RK,GST,10.0,2.22,2.22,,2.22,,,,False
87,13.8,RK,UST,2.0,0.8772033098462858,0.4462521250785212,1.804911120483231,0.27,2.682114430329517,4.487025550812748,6.2919366712959794,False
88,13.8,RK,UST,4.0,0.744684055710397,0.27,2.0130399083463026,-1.52,2.7577239640566997,4.770763872403002,6.783803780749305,False
